Time,Bid_Open,Bid_Close,Ask_Open,Ask_Close
2016-06-05T21:00:00.000000000Z,1.13530,1.13532,1.13592,1.13565
2016-06-06T21:00:00.000000000Z,1.13528,1.13565,1.13576,1.13597
2016-06-07T21:00:00.000000000Z,1.13563,1.13929,1.13605,1.13971
2016-06-08T21:00:00.000000000Z,1.13908,1.13133,1.13978,1.13179
2016-06-09T21:00:00.000000000Z,1.13149,1.12480,1.13200,1.12547
2016-06-12T21:00:00.000000000Z,1.12463,1.12896,1.12555,1.12947
2016-06-13T21:00:00.000000000Z,1.12918,1.12044,1.12949,1.12100
2016-06-14T21:00:00.000000000Z,1.12040,1.12590,1.12109,1.12610
2016-06-15T21:00:00.000000000Z,1.12588,1.12245,1.12618,1.12274
2016-06-16T21:00:00.000000000Z,1.12223,1.12721,1.12266,1.12808
2016-06-19T21:00:00.000000000Z,1.13276,1.13095,1.13360,1.13180
2016-06-20T21:00:00.000000000Z,1.13095,1.12410,1.13191,1.12434
2016-06-21T21:00:00.000000000Z,1.12405,1.12950,1.12468,1.12978
2016-06-22T21:00:00.000000000Z,1.12953,1.13793,1.12990,1.13903
2016-06-23T21:00:00.000000000Z,1.13811,1.10982,1.13921,1.11182
2016-06-26T21:00:00.000000000Z,1.10047,1.10236,1.10203,1.10261
2016-06-27T21:00:00.000000000Z,1.10222,1.10637,1.10268,1.10676
2016-06-28T21:00:00.000000000Z,1.10637,1.11230,1.10697,1.11264
2016-06-29T21:00:00.000000000Z,1.11205,1.11042,1.11256,1.11082
2016-06-30T21:00:00.000000000Z,1.10941,1.11284,1.11038,1.11484
2016-07-03T21:00:00.000000000Z,1.11217,1.11526,1.11394,1.11550
2016-07-04T21:00:00.000000000Z,1.11524,1.10751,1.11578,1.10769
2016-07-05T21:00:00.000000000Z,1.10697,1.10989,1.10721,1.11015
2016-07-06T21:00:00.000000000Z,1.10983,1.10604,1.11004,1.10632
2016-07-07T21:00:00.000000000Z,1.10594,1.10455,1.10672,1.10550
2016-07-10T21:00:00.000000000Z,1.10452,1.10554,1.10552,1.10592
2016-07-11T21:00:00.000000000Z,1.10559,1.10597,1.10611,1.10621
2016-07-12T21:00:00.000000000Z,1.10596,1.10880,1.10627,1.10919
2016-07-13T21:00:00.000000000Z,1.10867,1.11179,1.10916,1.11228
2016-07-14T21:00:00.000000000Z,1.11175,1.10289,1.11242,1.10389
2016-07-17T21:00:00.000000000Z,1.10454,1.10743,1.10532,1.10764
2016-07-18T21:00:00.000000000Z,1.10746,1.10194,1.10766,1.10227
2016-07-19T21:00:00.000000000Z,1.10179,1.10130,1.10225,1.10159
2016-07-20T21:00:00.000000000Z,1.10103,1.10251,1.10175,1.10273
2016-07-21T21:00:00.000000000Z,1.10242,1.09736,1.10286,1.09812
2016-07-24T21:00:00.000000000Z,1.09701,1.09938,1.09790,1.09959
2016-07-25T21:00:00.000000000Z,1.09920,1.09840,1.09953,1.09873
2016-07-26T21:00:00.000000000Z,1.09841,1.10581,1.09887,1.10604
2016-07-27T21:00:00.000000000Z,1.10634,1.10753,1.10662,1.10774
2016-07-28T21:00:00.000000000Z,1.10749,1.11696,1.10812,1.11796
2016-07-31T21:00:00.000000000Z,1.11710,1.11607,1.11786,1.11654
2016-08-01T21:00:00.000000000Z,1.11591,1.12206,1.11637,1.12256
2016-08-02T21:00:00.000000000Z,1.12196,1.11495,1.12247,1.11514
2016-08-03T21:00:00.000000000Z,1.11466,1.11278,1.11509,1.11314
2016-08-04T21:00:00.000000000Z,1.11260,1.10832,1.11306,1.10913
2016-08-07T21:00:00.000000000Z,1.10759,1.10871,1.10859,1.10892
2016-08-08T21:00:00.000000000Z,1.10841,1.11159,1.10883,1.11178
2016-08-09T21:00:00.000000000Z,1.11124,1.11752,1.11187,1.11786
2016-08-10T21:00:00.000000000Z,1.11755,1.11362,1.11804,1.11379
2016-08-11T21:00:00.000000000Z,1.11327,1.11571,1.11389,1.11671
2016-08-14T21:00:00.000000000Z,1.11654,1.11816,1.11729,1.11847
2016-08-15T21:00:00.000000000Z,1.11817,1.12774,1.11844,1.12791
2016-08-16T21:00:00.000000000Z,1.12771,1.12874,1.12810,1.12926
2016-08-17T21:00:00.000000000Z,1.12835,1.13523,1.12935,1.13558
2016-08-18T21:00:00.000000000Z,1.13487,1.13204,1.13558,1.13304
2016-08-21T21:00:00.000000000Z,1.13061,1.13199,1.13135,1.13221
2016-08-22T21:00:00.000000000Z,1.13182,1.13039,1.13213,1.13065
2016-08-23T21:00:00.000000000Z,1.13044,1.12627,1.13072,1.12645
2016-08-24T21:00:00.000000000Z,1.12626,1.12843,1.12666,1.12879
2016-08-25T21:00:00.000000000Z,1.12795,1.11920,1.12850,1.12013
2016-08-28T21:00:00.000000000Z,1.11740,1.11875,1.11807,1.11903
2016-08-29T21:00:00.000000000Z,1.11872,1.11415,1.11924,1.11441
2016-08-30T21:00:00.000000000Z,1.11411,1.11564,1.11451,1.11601
2016-08-31T21:00:00.000000000Z,1.11560,1.11957,1.11599,1.11976
2016-09-01T21:00:00.000000000Z,1.11959,1.11520,1.12006,1.11587
2016-09-04T21:00:00.000000000Z,1.11542,1.11456,1.11602,1.11489
2016-09-05T21:00:00.000000000Z,1.11463,1.12534,1.11495,1.12567
2016-09-06T21:00:00.000000000Z,1.12535,1.12386,1.12578,1.12407
2016-09-07T21:00:00.000000000Z,1.12381,1.12601,1.12410,1.12626
2016-09-08T21:00:00.000000000Z,1.12575,1.12284,1.12621,1.12362
2016-09-11T21:00:00.000000000Z,1.12342,1.12340,1.12390,1.12373
2016-09-12T21:00:00.000000000Z,1.12336,1.12189,1.12371,1.12231
2016-09-13T21:00:00.000000000Z,1.12175,1.12476,1.12203,1.12523
2016-09-14T21:00:00.000000000Z,1.12460,1.12427,1.12500,1.12447
2016-09-15T21:00:00.000000000Z,1.12427,1.11532,1.12462,1.11616
2016-09-18T21:00:00.000000000Z,1.11503,1.11729,1.11546,1.11765
2016-09-19T21:00:00.000000000Z,1.11730,1.11498,1.11786,1.11516
2016-09-20T21:00:00.000000000Z,1.11499,1.11869,1.11538,1.11930
2016-09-21T21:00:00.000000000Z,1.11863,1.12075,1.11924,1.12093
2016-09-22T21:00:00.000000000Z,1.12065,1.12210,1.12094,1.12298
2016-09-25T21:00:00.000000000Z,1.12277,1.12528,1.12321,1.12548
2016-09-26T21:00:00.000000000Z,1.12527,1.12149,1.12572,1.12172
2016-09-27T21:00:00.000000000Z,1.12130,1.12163,1.12230,1.12179
2016-09-28T21:00:00.000000000Z,1.12135,1.12223,1.12165,1.12242
2016-09-29T21:00:00.000000000Z,1.12180,1.12375,1.12235,1.12475
2016-10-02T21:00:00.000000000Z,1.12272,1.12094,1.12338,1.12127
2016-10-03T21:00:00.000000000Z,1.12100,1.12038,1.12141,1.12059
2016-10-04T21:00:00.000000000Z,1.11994,1.12047,1.12069,1.12065
2016-10-05T21:00:00.000000000Z,1.12033,1.11493,1.12070,1.11525
2016-10-06T21:00:00.000000000Z,1.11495,1.11977,1.11542,1.12049
2016-10-09T21:00:00.000000000Z,1.11770,1.11384,1.11818,1.11404
2016-10-10T21:00:00.000000000Z,1.11346,1.10527,1.11391,1.10549
2016-10-11T21:00:00.000000000Z,1.10520,1.10048,1.10551,1.10085
2016-10-12T21:00:00.000000000Z,1.10061,1.10556,1.10119,1.10573
2016-10-13T21:00:00.000000000Z,1.10563,1.09688,1.10598,1.09736
2016-10-16T21:00:00.000000000Z,1.09671,1.09986,1.09712,1.10004
2016-10-17T21:00:00.000000000Z,1.09986,1.09792,1.10022,1.09809
2016-10-18T21:00:00.000000000Z,1.09776,1.09729,1.09804,1.09748
2016-10-19T21:00:00.000000000Z,1.09732,1.09280,1.09751,1.09304
2016-10-20T21:00:00.000000000Z,1.09270,1.08799,1.09303,1.08899
2016-10-23T21:00:00.000000000Z,1.08818,1.08806,1.08850,1.08823
2016-10-24T21:00:00.000000000Z,1.08791,1.08870,1.08817,1.08893
2016-10-25T21:00:00.000000000Z,1.08863,1.09077,1.08895,1.09104
2016-10-26T21:00:00.000000000Z,1.09025,1.08955,1.09125,1.08989
2016-10-27T21:00:00.000000000Z,1.08955,1.09826,1.09008,1.09924
2016-10-30T21:00:00.000000000Z,1.09900,1.09805,1.09937,1.09835
2016-10-31T21:00:00.000000000Z,1.09786,1.10539,1.09829,1.10566
2016-11-01T21:00:00.000000000Z,1.10530,1.10964,1.10563,1.10991
2016-11-02T21:00:00.000000000Z,1.10916,1.11047,1.11008,1.11070
2016-11-03T21:00:00.000000000Z,1.11033,1.11366,1.11069,1.11441
2016-11-06T22:00:00.000000000Z,1.10556,1.10393,1.10656,1.10416
2016-11-07T22:00:00.000000000Z,1.10394,1.10234,1.10422,1.10279
2016-11-08T22:00:00.000000000Z,1.10252,1.09068,1.10323,1.09108
2016-11-09T22:00:00.000000000Z,1.09078,1.08892,1.09121,1.08944
2016-11-10T22:00:00.000000000Z,1.08914,1.08513,1.09014,1.08613
2016-11-13T22:00:00.000000000Z,1.08305,1.07358,1.08358,1.07394
2016-11-14T22:00:00.000000000Z,1.07362,1.07209,1.07389,1.07236
2016-11-15T22:00:00.000000000Z,1.07223,1.06897,1.07257,1.06923
